      nr,code   ,name                      
      18,0313110,Tegelsmora                
      32,0313120,Österlövsta               
      22,0313130,Hållnäs                   
     110,0314080,Uppsala                   
      52,0315080,Enköping                  
       8,0401010,Tuna                      
       5,0401020,Bergshammar               
      18,0401030,Tunaberg                  
      13,0401040,Lunda                     
      23,0401050,Kila                      
      14,0401060,Björkvik                  
       3,0401070,Halla                     
      15,0401100,Stigtomta                 
       2,0401110,Nykyrka                   
       8,0401120,Bärbo                     
      16,0401130,Sankt Nikolai             
       7,0402010,Ripsa                     
       4,0402020,Lid                       
       8,0402030,Runtuna                   
       8,0402040,Ludgo                     
       2,0402050,Spelvik                   
       7,0402060,Bälinge                   
      10,0402070,Tystberga                 
       6,0402110,Lästringe                 
       6,0402120,Sätersta                  
       3,0402130,Bogsta                    
       6,0402140,Råby-Rönö                 
      15,0402150,Svärta                    
       4,0402160,Helgona                   
      12,0403010,Hölö                      
       9,0403020,Mörkö                     
      18,0403030,Västerljung               
       3,0403040,Trosa Landsk              
      12,0403050,Vagnhärad                 
      33,0404010,Västra Vingåker           
      32,0404015,Vingåker                  
      11,0404020,Östra Vingåker            
      14,0404030,Julita                    
      14,0404040,Öståker                   
      25,0404050,Stora Malm                
      13,0404060,Lerbo                     
      31,0404070,Floda                     
      18,0404100,Sköldinge (Skyllinge)     
      13,0404105,Valla                     
       2,0404110,Blacksta                  
       9,0404120,Vadsbro                   
       3,0404130,Husby-Oppunda             
      19,0404140,Bettna                    
      16,0404150,Vrena                     
      10,0405010,Helgesta                  
       2,0405020,Hyltinge                  
      14,0405025,Sparreholm                
      15,0405030,Dunker                    
       5,0405040,Lilla Malma               
       5,0405060,Årdala                    
       6,0405070,Forsa                     
      22,0405090,Malmköping                
      20,0405100,Lilla Mellösa             
       6,0406010,Torshälla Landsk          
       6,0406020,Gillberga                 
       5,0406030,Lista                     
       9,0406040,Tumbo                     
       7,0406050,Råby-Rekarne              
      12,0406060,Öja                       
      13,0406070,Västermo                  
       7,0407010,Jäder                     
       6,0407020,Barva                     
       6,0407030,Kjula                     
       2,0407040,Sundby                    
       2,0407050,Vallby                    
       1,0407060,Hammarby                  
       9,0407070,Stenkvista                
      13,0407100,Ärla                      
      22,0407110,Husby-Rekarne             
      10,0407120,Näshulta                  
       1,0408000,Daga Hd                   
      11,0408010,Gåsinge                   
       3,0408030,Frustuna                  
      30,0408035,Gnesta                    
       5,0408050,Björnlunda                
      24,0408060,Gryt                      
      18,0409010,Åker                      
       9,0409020,Länna                     
       5,0409030,Vansö                     
       7,0409040,Härad                     
       8,0409050,Fogdö                     
       5,0409060,Hälgarö                   
       1,0409070,Strängnäs Landsk          
       7,0410010,Tresund                   
       6,0410020,Överselö                  
      13,0410030,Ytterselö                 
       5,0410040,Aspö                      
       3,0410050,Kärnbo                    
      10,0410060,Taxinge                   
       3,0410070,Överenhörna               
      12,0410100,Ytterenhörna              
      82,0411080,Nyköping                  
     125,0412080,Eskilstuna                
      21,0413080,Torshälla                 
      44,0414080,Strängnäs                 
      20,0415080,Mariefrewd                
      17,0416080,Trosa                     
      33,0417080,Flen                      
      18,0418080,Oxelösund                 
      62,0419080,Katrineholm               
      14,0501010,Horn                      
      10,0501020,Hycklinge                 
       6,0501030,Tirserum                  
       6,0501040,Västra Eneby              
      33,0501050,Kisa                      
       6,0501055,Kisa Me                   
       1,0501060,Hägerstad                 
      10,0501070,Oppeby                    
       7,0501100,Kättilstad                
      14,0501110,Tjärstad                  
      11,0501120,Vårdnäs                   
       9,0502010,Västra Ryd                
      10,0502020,Svinhult                  
      24,0502030,Sund                      
       8,0502040,Asby                      
       9,0502050,Torpa                     
      12,0502060,Norra Vi                  
      11,0503010,Västra Harg               
      12,0503020,Östra Tollstad            
       5,0503030,Sya                       
      21,0503040,Veta                      
       1,0503050,Viby                      
       7,0503060,Normlösa                  
       5,0503070,Härberga                  
       6,0503100,Västerlösa                
      11,0504010,Nykil                     
       7,0504020,Gammalkil                 
      15,0504030,Ulrika                    
       1,0504040,Rappestad                 
       4,0504050,Sjögestad                 
      11,0504060,Vikingstad                
       4,0504070,Ledeberg                  
      21,0505010,Vreta Kloster             
      10,0505020,Stjärnorp                 
       7,0505030,Ljung                     
       3,0505040,Flistad                   
       2,0505050,Björkeberg                
       3,0506010,Östra Skrukeby            
       8,0506030,Törnevalla                
       2,0506040,Östra Harg                
       4,0506050,Rystad                    
       6,0507010,Vårdsberg                 
       8,0507020,Askeby                    
       6,0507030,Bankekind                 
       5,0507040,Grebo                     
       5,0507050,Värna                     
       5,0507060,Örtomta                   
      13,0507070,Björsäter                 
      46,0507100,Åtvid                     
       3,0508010,Slaka                     
       8,0508020,Skeda                     
      10,0508030,Kärna                     
       5,0508040,Kaga                      
      14,0508050,Landeryd                  
       7,0508060,Vist                      
       4,0509010,Västra Husby              
       8,0509020,Drothem                   
       5,0509030,Skönberga                 
      44,0509040,Ringarum                  
      12,0509050,Mogata                    
       4,0509060,Börrum                    
      14,0509070,Gryt                      
      31,0509090,Valdemarsvik              
       9,0509100,Skällvik                  
      16,0509110,Sankt Anna                
       8,0510010,Skärkind                  
      12,0510020,Gistad                    
       5,0510030,Gårdeby                   
      10,0510040,Östra Ryd                 
       8,0510050,Yxnerum                   
      16,0511010,Godegård                  
      15,0511020,Tjällmo                   
      43,0511030,Hällestad                 
      15,0511040,Risinge                   
      17,0511050,Regna                     
      54,0511060,Skedevi                   
      11,0511070,Vånga                     
      74,0511090,Finspång                  
      10,0512010,Kuddby                    
       6,0512020,Östra Ny                  
       3,0512030,Rönö                      
       3,0512040,Å                         
       8,0512050,Tåby                      
       2,0512060,Konungsund                
       6,0513010,Häradshammar              
      13,0513020,Jonsberg                  
      13,0513030,Östra Husby               
       4,0513040,Kvarsebo                  
       4,0513050,Östra Stenby              
      12,0514010,Styrestad                 
       5,0514030,Dagsberg                  
      16,0514040,Krokek                    
      11,0514045,Kolmården                 
       6,0514050,Tingstad                  
       2,0514060,Furingstad                
      28,0515020,Kvillinge                 
      10,0515030,Simonstorp                
      14,0516010,Kimstad                   
      27,0516020,Kullerstad                
      11,0516030,Borg                      
       7,0517010,Svanhals                  
       3,0517020,Kumla                     
      10,0517030,Rök                       
       5,0517040,Heda                      
       4,0517050,Stora Åby                 
      23,0517060,Ödeshög                   
      13,0517065,Ödeshögs Me               
       7,0517070,Trehörna                  
      13,0517100,Västra Tollstad           
      24,0518010,Ekeby                     
       5,0518020,Blåvik                    
       9,0518030,Rinna                     
      12,0518040,Åsbo                      
       6,0518050,Malexander Göstrings Hd   
       7,0518060,Högby                     
       8,0518070,Hogstad                   
      14,0518090,Boxholm                   
       2,0518100,Järstad                   
       6,0518110,Allhelgona                
       5,0518120,Bjälbo                    
       8,0518130,Väderstad                 
       3,0518140,Hov                       
       1,0518150,Appuna                    
       6,0519010,Västra Stenby             
       4,0519020,Hagebyhöga                
      15,0519030,Fivelstad                 
       5,0519040,Orlunda                   
       5,0519050,Varv                      
       2,0519070,Ask                       
       3,0519100,Vinnerstad                
       5,0519110,Motala Lk                 
      11,0519120,Västra Ny                 
      16,0520010,Rogslösa                  
       2,0520020,Väversunda                
       2,0520030,Herrestad                 
       1,0520040,Källstad                  
       3,0520060,Strå                      
       4,0520070,Örberga                   
       6,0521010,Klockrike                 
      24,0521020,Brunneby                  
       6,0521030,Skeppsås                  
       5,0521040,Älvestad                  
       3,0521050,Vallerstad                
       6,0521060,Fornåsa                   
       3,0521070,Lönsås                    
       7,0521100,Ekebyborna                
